month	totals	adj_mult	adj_add	residual_add	residual_mult
2010-01	15346				
2010-02	14929				
2010-03	19380				
2010-04	15922				
2010-05	13890				
2010-06	14432				
2010-07	12848	14881.999999999998	14882.0	511.8119419642858	0.9861131659831766
2010-08	14183	14807.124999999998	14807.124999999998	1352.9629836309532	1.0563361196539431
2010-09	13743	14820.625	14820.625	2369.3975074404766	1.0914431814953
2010-10	14371	14870.708333333332	14870.708333333332	1946.951078869049	1.0796838566239653
2010-11	15005	14982.0	14982.0	1042.2725074404761	1.0477124348665774
2010-12	15546	15072.125	15072.124999999998	-1997.6441592261885	0.934826079269369
2011-01	13324	15124.874999999998	15124.875	-3662.650111607142	0.8232895639159786
2011-02	15154	15127.833333333334	15127.833333333332	-1413.316778273809	0.9394233972824467
2011-03	19479	15133.416666666666	15133.416666666666	-1891.269159226189	0.9923880395513286
2011-04	17025	15183.624999999998	15183.624999999998	94.30822172619264	1.0377899609344896
2011-05	15458	15227.541666666666	15227.541666666666	1524.0046502976195	1.071327458793949
2011-06	15027	15378.749999999998	15378.75	675.546316964286	1.025912583607954
2011-07	13519	15698.75	15698.75	366.0619419642858	0.9836305848091608
2011-08	13583	16087.958333333332	16087.958333333332	-527.8703497023807	0.9311068842813408
2011-09	14477	16398.875	16398.875	1525.1475074404766	1.0390839177088083
2011-10	14842	16603.124999999996	16603.125	685.5344122023812	0.9987202686865347
2011-11	15588	16816.25	16816.25	-208.97749255952385	0.9696994142998584
2011-12	18592	17036.624999999996	17036.625	-916.1441592261904	0.9890749212381541
2012-01	17958	17259.374999999996	17259.374999999996	-1163.1501116071386	0.9723949230573252
2012-02	19861	17590.166666666664	17590.166666666664	831.3498883928589	1.0588683755654666
2012-03	22234	17895.95833333333	17895.958333333332	-1898.810825892855	0.9578874755229004
2012-04	19172	18160.29166666666	18160.291666666664	-735.3584449404734	0.9771076529867898
2012-05	18426	18613.541666666664	18613.541666666664	1106.0046502976213	1.0447220976942797
2012-06	17348	19347.416666666664	19347.416666666664	-972.1203497023782	0.9414245862334321
2012-07	16544	20371.666666666664	20371.666666666664	-1281.8547247023785	0.9276122805529616
2012-08	18497	21129.791666666664	21129.791666666664	-655.7036830357129	0.9654079065091972
2012-09	16902	21681.708333333332	21681.708333333332	-1332.6858258928555	0.9175520369481508
2012-10	18761	22494.625	22494.625	-1286.9655877976188	0.9317909756709218
2012-11	22547	23111.749999999996	23111.75	454.52250744047615	1.0205442147232089
2012-12	29246	23508.791666666668	23508.791666666664	3265.6891741071454	1.1275162554835259
2013-01	31886	23979.75	23979.75	6044.474888392858	1.2426967744226454
2013-02	24128	24439.999999999996	24439.999999999996	-1751.4834449404732	0.9258293478801337
2013-03	31213	24846.5	24846.5	129.64750744047706	0.9685502226558822
2013-04	29703	25104.499999999996	25104.5	2851.433221726191	1.0950817793778875
2013-05	22706	25163.291666666664	25163.291666666664	-1163.7453497023787	0.9522958941196622
2013-06	22597	24845.375	24845.375	-1221.078683035714	0.9549141678754287
2013-07	22598	24388.833333333332	24388.833333333332	754.9786086309537	1.058355346309387
2013-08	23489	24479.166666666664	24479.166666666664	986.9213169642871	1.0582119668248047
2013-09	21666	24931.333333333336	24931.333333333332	181.68917410714448	1.0228674009185543
2013-10	20189	24779.333333333332	24779.333333333332	-2143.673921130951	0.910262107655012
2013-11	22530	24060.291666666668	24060.291666666664	-511.0191592261881	0.9795716224487483
2013-12	21633	23327.125000000004	23327.124999999996	-4165.644159226187	0.8405086304920171
2014-01	28542	22522.749999999996	22522.75	4157.474888392858	1.1843300968224044
2014-02	29640	21814.916666666664	21814.916666666664	6385.599888392859	1.2741937242913144
2014-03	36553	21543.416666666664	21543.416666666664	8772.730840773813	1.3081582930905002
2014-04	20715	21745.583333333332	21745.583333333332	-2777.6501116071413	0.8816814206695467
2014-05	14437	21965.541666666664	21965.541666666664	-6234.995349702379	0.693639424064099
2014-06	13270	22264.333333333332	22264.333333333332	-7967.037016369046	0.6257780632362206
2014-07	12620	22368.458333333332	22368.458333333332	-7202.646391369046	0.644430121233813
2014-08	16479	21989.291666666664	21989.291666666664	-3533.203683035713	0.826464842768846
2014-09	22160	21505.958333333332	21505.958333333332	4101.064174107145	1.2128219831892477
2014-10	24547	21493.916666666668	21493.916666666664	5499.742745535717	1.2759220300265712
2014-11	23451	22164.583333333332	22164.583333333332	2305.689174107144	1.1068217544000987
2014-12	27883	23059.124999999996	23059.125	2352.3558407738096	1.095931269814204
2015-01	24791	23930.375	23930.375	-1001.1501116071422	0.9681760194005857
2015-02	24291	24539.125	24539.124999999996	-1687.6084449404732	0.9283187917533411
2015-03	30302	24732.875	24732.875	-667.727492559523	0.9446013126338113
2015-04	26677	24690.624999999996	24690.625	239.30822172619082	1.000006261009293
2015-05	24571	24788.874999999996	24788.875	1075.6713169642856	1.0460796275282171
2015-06	24605	25279.583333333332	25279.583333333332	352.7129836309539	1.0219098030439624
2015-07	22195	25934.20833333333	25934.208333333332	-1193.3963913690463	0.977540329265313
2015-08	21514	26548.375	26548.374999999996	-3057.287016369045	0.8936922475080503
2015-09	21775	27083.75	27083.749999999996	-1861.7274925595198	0.9463144496699406
2015-10	23918	27542.499999999996	27542.5	-1177.8405877976188	0.9702033673041296
2015-11	26438	27986.5	27986.499999999996	-529.2274925595202	0.9882251463988853
2015-12	36673	28550.916666666668	28550.916666666664	5650.564174107145	1.1641609448524448
2016-01	31712	29235.5	29235.5	614.7248883928578	1.0137313733689386
2016-02	32110	29793.791666666668	29793.791666666668	876.7248883928553	1.010707177149212
2016-03	35332	29752.916666666668	29752.916666666664	-657.7691592261872	0.9155678400058517
2016-04	32657	29140.833333333332	29140.833333333332	1769.0998883928587	1.0372229868873135
2016-05	29247	28428.95833333333	28428.958333333332	2111.587983630953	1.0857231748685907
2016-06	33475	27259.666666666664	27259.666666666664	7242.629650297622	1.2893153468653242
2016-07	29755	25781.041666666668	25781.041666666664	6519.770275297622	1.318293234802967
2016-08	27353	24383.541666666664	24383.541666666664	4946.546316964287	1.237123192908214
2016-09	14955	22989.958333333332	22989.958333333332	-4587.935825892855	0.7656571410804303
2016-10	16048	21623.458333333332	21623.45833333333	-3128.7989211309473	0.8291575050432971
2016-11	17223	20400.583333333332	20400.583333333332	-2158.310825892856	0.8831655238730549
2016-12	17825	19147.708333333332	19147.708333333332	-3794.2274925595225	0.8437220098607167
2017-01	15073	17806.0	17806.0	-4594.775111607142	0.7911213600225542
2017-02	15209	16615.833333333332	16615.833333333332	-2846.316778273809	0.8583992970885175
2017-03	18787	15942.0	15942.0	-3391.852492559523	0.9085869275501565
2017-04	16406	15705.124999999998	15705.125	-1046.1917782738092	0.9668500491451121
2017-05	16149	15466.124999999998	15466.125	1976.4213169642856	1.1019524339416342
2017-06	16504	15247.0	15247.0	2284.2963169642862	1.13648556014811
2017-07	14525	15094.166666666666	15094.166666666664	1976.6452752976215	1.0991564924837136
2017-08	14019	15057.083333333334	15057.083333333332	939.0046502976193	1.0267883949860968
2017-09	12117				
2017-10	13201				
2017-11	14334				
2017-12	15455				
2018-01	13775				
2018-02	15617				
